,bbl,eui
520,3048910006,82.1
521,3078230021,71.7
522,4001150249,16.7
523,2033040061,76.2
524,1008060076,126.1
525,4007480008,37.8
526,1008740017,51.6
527,4103360150,25.3
528,1001500017,22.2
529,1001500015,114.5
530,1002090001,50.7
531,1010210045,157.5
532,1002310036,28.7
533,1002310005,154.7
534,3002650039,45.9
535,3001450006,37.8
536,3050810043,89.2
537,3002680046,42.7
538,3010790001,71.8
540,4019180082,45.2
541,2052450001,118.0
542,3029990024,47.4
543,1004100004,50.3
544,1012520024,165.2
545,1012520025,61.4
546,1012520022,29.1
547,1018320013,79.3
548,1010090014,89.1
549,2023400204,11.8
550,2025940035,59.6
551,1012430010,61.8
552,2027740152,49.4
553,1018820058,58.4
554,1019957501,75.3
555,4004710702,76.9
556,1008370072,85.8
557,3056560045,57.8
558,3056300038,103.6
559,3056640031,82.7
560,3056780049,61.4
561,1021530081,38.3
562,1021790201,95.7
563,1021790203,75.3
564,1021390196,73.4
565,1021390340,52.3
566,2033030005,82.9
567,2033460034,57.2
568,2032610124,60.8
569,4142600111,96.5
570,2029580031,84.5
571,2031640023,103.7
572,2029230001,92.9
573,4024480201,163.3
574,1005220028,105.9
575,4001900013,98.6
576,1008040008,78.4
577,1002747501,89.3
578,1006387502,72.1
579,1001357503,53.0
580,1008180005,37.1
581,1006417502,60.1
582,1002197501,36.0
583,3048680046,104.1
584,3013950068,97.2
585,3012880038,103.6
586,3087160085,72.9
587,3023137502,52.1
588,3001797505,61.8
589,1007627502,60.4
590,1015800043,48.0
591,1020920036,90.1
592,3058920001,74.6
593,1014400030,107.4
594,2030370077,57.1
595,2026660066,80.7
596,3012340001,102.2
597,3030440026,131.3
598,3030440029,7.9
599,2025060134,91.4
600,1021530037,235.0
601,1021230026,104.0
602,1018730042,103.0
603,1021330034,121.4
604,2031840076,108.9
605,4008590001,94.6
606,4008930080,90.8
607,4008930007,101.1
608,4008940050,100.9
609,4008710006,95.2
610,4008710020,93.1
611,4008710030,111.9
612,4008700001,104.0
613,4008700012,84.3
614,4008600001,92.0
615,4008930070,95.7
616,4008920027,89.7
617,1014280005,73.6
618,3041910016,82.5
619,3004340016,94.5
620,2025170015,89.4
621,3017550020,76.7
622,3016120039,73.8
623,4006400017,116.9
624,3056420053,72.2
625,2038670023,66.8
626,3074620007,34.9
627,3076020042,27.1
628,3066940064,75.0
629,2026330010,20.4
630,1004947503,38.7
631,2028400065,83.4
632,2028640025,52.4
633,4042500007,34.0
634,1007590049,70.4
635,4089040007,4.9
636,2032170027,81.1
637,1002030031,168.9
638,2023600070,65.8
639,3019780029,38.3
640,4006380019,93.1
641,3056290044,64.6
642,4013140060,64.3
643,4015080001,61.8
644,4015550027,70.4
645,2041620041,20.3
646,4016340001,80.5
647,2027400100,87.6
648,1016440051,87.5
649,1012460053,83.3
650,1012470010,99.4
651,1012480037,64.5
652,1018770039,89.1
653,1018910057,101.1
654,1001727502,48.4
655,5061450300,300.8
656,3011970001,61.8
657,1013400016,50.2
658,2033280003,68.6
659,2033280008,304.6
660,4006490074,24.8
661,4099690012,73.3
662,3008587501,49.3
663,1004327501,106.3
664,3011730060,65.8
665,1005580013,84.3
666,3060990010,47.9
667,1004440034,50.0
668,3056170050,44.2
669,1021150011,77.0
670,2033560206,18.0
671,2037770019,130.4
672,1004710025,27.2
673,2027210020,110.6
674,1001810016,71.4
675,1002367502,71.0
676,1015180031,21.7
677,1021340085,94.6
678,1015160028,8.9
679,1005040036,72.4
680,1005040031,62.9
681,1021170051,83.1
682,1005220024,24.0
683,3043140001,133.3
684,3043140006,119.1
685,5076260001,7.6
686,2024220021,151.8
687,4005497501,58.2
688,1002180008,29.8
689,1017830034,189.7
690,1017100036,74.3
691,3042130001,30.8
692,3013810036,110.5
693,2025640005,84.8
694,2027650205,81.5
695,3014330028,73.0
696,2027630095,81.5
697,2027630100,22.0
698,3053480068,46.8
699,1021530043,100.8
700,4008420054,80.5
701,3007500005,72.4
702,1000760001,96.7
704,3/00888/7501,21.2
706,1008850066,88.0
707,1015670031,56.6
708,1014280007,46.9
709,1015200033,57.0
710,1015700015,61.8
711,1008830025,52.9
712,1005570022,65.4
713,1022340034,104.7
714,1021630025,57.8
715,1021260046,75.9
716,3019250042,8.1
717,1022270023,785.6
718,1021220150,153.7
719,1020870093,144.4
720,1021620032,24.3
721,1021610017,133.4
722,1021450022,77.6
723,2029630056,110.4
724,1021340080,58.2
725,1021610004,66.5
726,4014527501,89.5
727,1005560001,68.7
728,1004670035,126.9
729,1011220022,93.5
730,2026690050,117.3
731,1010740049,48.5
732,1010770012,60.5
733,2029000039,37.3
734,2031180044,74.6
735,2031230077,111.6
736,2039060055,148.7
737,2031020047,82.4
739,2029520009,13.7
740,2029570001,60.8
742,2031250030,77.7
745,1012390039,105.6
746,1007957502,56.5
747,1015130066,73.4
748,1006377508,93.8
749,3010647501,50.3
750,1008710007,96.6
751,1011640002,85.5
752,3061290059,68.6
753,3061680001,98.7
754,3063330001,40.8
755,3064610036,80.9
756,3063160022,108.2
757,3061300006,68.1
758,3064090026,97.1
759,3072660009,24.3
760,3031557501,31.5
761,3032707501,25.4
762,3086767501,34.0
763,3038810040,9.4
764,3056970033,66.1
765,3083170001,37.0
767,3024440028,40.1
768,1015430014,78.5
769,1015430018,74.2
770,3007880025,26.0
771,3013000044,74.9
772,3063350006,93.7
773,3053130001,124.9
774,3053900080,85.9
775,1008030056,59.4
776,1008280067,34.6
777,1022150225,178.9
778,1022150535,119.2
779,1021700361,95.5
780,3050770017,94.3
781,1021700410,176.3
782,1021700356,145.4
783,3051630027,119.1
784,1021610100,62.2
785,1021680084,183.7
786,2027630248,186.2
787,2027630252,16.9
788,2028470022,395.4
789,2027960046,126.5
790,2027960042,21.9
791,3052200042,109.2
792,3051240007,140.6
793,2044340014,92.2
794,2033000003,306.0
795,3054170015,111.7
796,3056160035,35.0
797,3065950005,129.4
798,4015700052,124.6
799,1013410033,32.8
800,3067800012,108.7
801,3073800034,72.9
802,4066900016,56.3
803,4067110027,68.5
804,4092470001,15.6
805,1002057501,252.0
806,2028770240,102.3
807,3074380024,331.0
808,1008240042,34.5
809,1016710031,78.5
810,1006240044,109.9
811,1003440013,65.1
812,3066630046,59.1
813,1018280063,43.0
814,1019120033,48.2
815,1019250025,58.3
816,1019660052,85.3
817,1020320061,33.2
818,1020340029,73.8
819,1020380009,117.2
820,1020510064,86.1
821,1020510066,92.3
822,1020510098,117.2
824,2026970015,100.7
825,2028420033,116.0
827,2031330018,82.8
828,2051110001,11.7
829,3015500031,106.9
830,3015500036,90.6
831,3016050076,75.1
832,3017690011,26.3
833,3017740010,71.8
834,3046270031,72.6
835,3046470006,96.2
836,3046490001,18.9
838,3071080018,290.5
839,4001930055,86.4
840,1003450020,97.5
841,1015940040,202.5
842,1017490016,35.0
843,1020710001,115.9
844,1020740001,89.4
845,1020740061,109.7
846,1020750039,89.2
847,1021220116,132.1
848,1021370029,131.4
849,2023980027,132.9
850,3025760042,95.2
851,1008840042,61.8
